Return,Risk,S_ratio
0.14650182432979417,0.17996995977014146,0.3972986626274555
0.138868223553405,0.20064527624523898,0.31831411508209134
0.14599794640677285,0.18583308983196964,0.38205223015432416
0.14848740068023708,0.1900818169939329,0.3866093129916928
0.13835991396552408,0.19996532079928325,0.31685451113356844
0.1455803709388483,0.18671170272446916,0.3780179276871782
0.14193385489401641,0.19850846344387002,0.3371838849225819
0.13771128376493158,0.2028761079713551,0.3091112324265706
0.14535325458832968,0.17846032538872422,0.39422350281546026
0.14587866271952588,0.19179084228915963,0.3695622891767866
0.15011089850186332,0.1825741643926399,0.4113993825562937
0.15020812092747407,0.17549716758403078,0.42854321789246685
0.14914779935697772,0.18193713665227296,0.4075462586766581
0.13849173579466326,0.18768682461833822,0.3382855238974495
0.14941804239185355,0.18737980451792133,0.3971508166705131
0.15484549521853178,0.17772665015232303,0.44926011462039667
0.15626245311883358,0.17740144251731885,0.4580709827706182
0.14838564154256859,0.19335486365725424,0.3795386376866829
0.1436038272777581,0.17699674729938009,0.38759936735853445
0.1429639606917966,0.18148440729480242,0.3744892561562948
0.14996814890688584,0.1882054732719985,0.39833139601918116
0.14793200438334586,0.1891745812006519,0.38552750544212405
0.14426169896000843,0.17963373134820973,0.38557178788291485
0.14216225936968,0.23051419453831545,0.2913584541038598
0.14457445923667148,0.19082609273961976,0.3645961526425273
0.1425790816510109,0.18024685956835942,0.37492515438462465
0.15545031039619545,0.17692603660366413,0.4547115390168036
0.15196383338097072,0.1840400810634535,0.41819060791673457
0.1575311424849757,0.17823831556612493,0.46303816450934393
0.15149565985194227,0.18500945448529665,0.41346892278968184
0.14699573582682568,0.1779970650797776,0.4044770951395039
0.14899173913583502,0.19101644858873523,0.3873579457816311
0.14385739417848203,0.18264725022637185,0.3769966100948173
0.14784084239920622,0.17306534769653703,0.42088634939750996
0.14764994539659124,0.20281298884606166,0.35821150218210984
0.14875635620889646,0.1910885007896332,0.3859800872585937
0.14857969296290502,0.20241175675919074,0.3635149170235343
0.15287278273047278,0.19466576844281314,0.4000332639549281
0.14726297878958575,0.17602426470361807,0.4105285081648202
0.1413364124764887,0.1957323015797277,0.3389139755732544
0.14556727786147686,0.18732806685849662,0.37670424429662097
0.152316453993878,0.1760148738135462,0.4392609119828127
0.14538395929863035,0.19025474748881552,0.3699458763980016
0.14759803610396685,0.17380629348284435,0.4176950940567217
0.14910933307538446,0.20232364257541727,0.36629101835075845
0.1519698206534057,0.17372685839044116,0.4430507830885909
0.14064715157256205,0.19448472313240572,0.3375440009643806
0.14470730627958028,0.1925843348589156,0.3619573021380312
0.13829442146633483,0.1800855977067057,0.35146853647574056
0.1374907503184809,0.20297165299093772,0.3078792008521061
0.16190210346996883,0.18088257105219033,0.4804338138520534
0.1511510771488739,0.18327907938532648,0.4154924686672703
0.1434356674965365,0.17165873592097522,0.3986727918586184
0.1467648497358663,0.1893577583862156,0.3789908073874329
0.13835019420703545,0.18438302062420697,0.3435793273836758
